gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
HCG4B	966	664	461	0	697	901	593	252	558	343	103	214	805	627	398	199	610	1173	317	1405	114	974	1251	561	1017	819	1077	77	250	975	133	715
HLA-K	1025	746	513	1	746	990	678	281	575	379	110	218	861	672	429	207	607	1353	458	1545	129	1094	1381	544	1207	910	1134	81	351	1131	160	828
HLA-U	115	79	66	0	79	105	70	55	67	59	10	41	120	76	88	32	70	122	37	239	7	139	139	42	71	112	49	4	18	127	41	49
HLA-A	1022	1025	665	454	1356	946	672	703	613	421	308	379	1098	629	901	384	1416	2007	832	2510	284	2784	1307	668	1366	1686	1766	131	717	2979	309	1395
ENSG00000227766	1355	1304	822	571	1479	1172	692	708	818	565	399	391	1485	825	1159	469	1565	2376	811	3122	292	3142	1540	898	1553	1990	2304	165	724	3579	284	1718
HLA-W	84	64	61	32	121	53	61	64	36	60	20	33	69	64	72	36	68	89	82	209	11	127	164	133	58	151	52	5	49	234	20	56
POLR1HASP	101	66	49	43	88	97	76	65	50	40	18	29	78	67	87	43	53	115	50	178	20	278	136	73	119	100	99	4	48	194	26	80
ENSG00000290574	1251	861	606	511	1052	1158	892	787	583	523	212	359	1024	852	1046	489	594	1325	509	2154	188	3207	1570	819	1332	1183	1215	63	557	2104	284	971
ENSG00000237669	1329	906	611	526	1107	1209	855	818	589	558	219	349	1049	899	1053	477	530	1387	517	2187	172	3376	1733	898	1364	1152	1251	58	589	2275	303	970
HLA-J	1279	891	627	526	1083	1195	922	813	598	541	218	373	1058	877	1084	505	619	1346	525	2241	191	3291	1597	847	1364	1235	1252	68	560	2123	289	1007
HLA-L	115	89	57	49	96	116	93	70	70	50	28	30	104	83	108	47	96	181	62	220	36	327	191	85	180	149	142	13	79	327	61	119
HLA-L	984	745	473	399	764	928	703	511	548	421	222	233	895	650	835	372	540	1196	329	1532	230	2142	1102	581	893	908	1127	93	422	2225	253	712
RANP1	253	115	78	69	150	227	81	77	120	91	43	25	173	146	185	67	139	172	109	210	24	596	143	78	376	153	195	21	45	445	42	136
HLA-E	891	641	398	383	624	829	568	427	445	414	149	192	733	591	720	326	576	941	298	1287	176	1935	919	530	812	1015	861	58	495	1696	187	557
RPL15P4	387	257	189	132	302	371	316	233	178	145	93	113	258	219	300	133	138	329	101	506	82	412	293	233	214	261	262	32	146	607	21	207
MCCD1	370	219	165	132	304	361	288	216	158	136	94	122	245	215	278	145	206	404	147	470	95	543	387	202	225	334	289	39	147	704	45	255
DDX39B	309	196	131	118	236	295	196	185	130	127	60	75	247	176	233	116	374	472	264	460	110	802	520	224	555	579	328	64	260	747	192	271
ATP6V1G2-DDX39B	309	198	129	115	235	294	188	178	129	125	58	68	247	183	227	108	310	411	210	423	92	708	447	202	473	493	316	53	225	690	151	236
SNORD117	269	174	128	123	211	265	189	162	131	127	39	70	247	147	214	103	150	160	144	278	16	533	166	171	284	292	258	5	151	404	72	140
SNORD84	351	256	169	119	251	366	209	199	135	148	68	54	329	225	248	139	913	1150	609	750	336	1663	1314	322	1282	1319	465	214	714	1654	579	537
DDX39B-AS1	293	207	130	106	227	306	157	174	110	128	53	49	272	206	200	110	186	308	113	357	85	566	381	123	356	364	292	58	195	688	101	177
ATP6V1G2	341	214	131	108	252	285	180	161	137	137	53	47	245	195	229	84	178	309	76	375	29	595	247	159	223	303	335	16	135	516	32	208
NFKBIL1	231	144	105	84	190	195	140	125	113	106	41	48	174	122	179	75	124	209	73	223	21	439	187	78	148	210	214	15	87	314	27	156
ENSG00000289406	223	169	122	100	174	227	151	146	95	95	51	51	194	148	172	80	123	183	58	284	52	409	228	125	152	196	193	16	71	359	30	111
LTA	313	249	153	115	251	301	213	202	139	139	73	65	282	171	259	139	188	244	117	461	47	788	394	224	302	358	298	21	116	526	81	149
TNF	417	297	176	142	295	295	247	235	175	181	72	73	338	236	327	129	186	376	108	635	83	927	645	197	296	350	557	19	169	702	101	243
LTB	249	158	134	102	204	219	136	154	118	113	55	26	177	168	194	86	94	205	77	373	76	434	291	94	149	200	248	11	65	549	47	127
LST1	296	211	151	118	246	252	202	195	136	130	75	70	228	232	253	105	154	273	120	365	36	464	248	164	207	263	262	11	126	466	24	186
NCR3	238	189	139	105	215	243	167	189	138	121	73	62	190	177	221	77	120	165	72	294	39	356	255	101	166	224	240	6	59	251	31	92
UQCRHP1	164	105	76	60	111	140	101	107	70	51	27	45	132	121	126	25	77	93	26	120	2	236	135	36	98	135	115	4	35	301	15	21
AIF1	344	199	139	116	209	247	162	175	125	133	56	80	222	205	208	90	128	200	90	256	30	413	229	117	126	184	228	22	59	433	47	139
ENSG00000289375	132	122	78	67	69	128	69	51	82	75	45	30	159	145	153	61	150	301	70	227	36	334	172	104	184	138	304	36	81	212	51	115
PRRC2A	273	192	149	104	239	232	239	178	122	117	53	81	242	173	217	98	191	294	84	495	61	582	277	175	276	214	302	31	128	583	57	161
ENSG00000291302	193	161	93	80	158	145	119	80	68	93	43	43	184	137	154	75	129	223	82	401	45	458	168	128	268	130	217	23	129	368	51	142
SNORA38	207	158	91	84	175	157	123	92	71	97	47	47	181	133	158	75	116	206	75	360	22	448	161	139	276	114	216	22	125	398	41	122
ENSG00000289282	280	175	116	91	220	195	184	131	92	106	49	54	191	151	191	77	115	214	94	427	45	447	197	174	267	194	205	23	129	535	35	89
MIR6832	293	228	216	125	281	291	314	242	158	163	66	113	348	204	264	125	264	380	106	676	93	863	380	214	352	246	341	27	122	806	91	272
BAG6	271	198	143	97	244	255	222	195	148	115	46	78	233	165	207	89	148	232	91	447	53	528	250	158	206	271	276	17	139	457	47	164
APOM	234	177	124	95	208	220	167	157	115	93	47	55	228	150	165	84	115	183	114	330	40	510	327	90	236	206	248	5	111	429	26	158
C6orf47	256	173	123	128	228	205	188	168	115	109	61	76	223	167	196	82	130	249	126	389	55	516	369	83	253	198	398	32	174	548	38	245
C6orf47-AS1	256	173	123	128	229	205	188	168	115	109	61	76	222	167	196	82	130	249	126	389	55	517	370	83	254	198	399	32	174	550	38	245
GPANK1	304	220	130	123	221	251	194	175	139	135	68	69	222	183	243	81	170	371	96	400	63	657	419	169	247	286	347	34	188	504	67	261
Y_RNA	254	207	111	119	213	222	209	158	128	128	68	71	202	164	230	81	125	336	98	333	55	575	342	197	201	257	292	25	178	326	50	262
CSNK2B	364	238	155	122	277	313	213	217	171	143	57	87	254	238	277	107	224	452	84	617	118	700	537	185	270	321	350	27	148	760	64	304
ENSG00000263020	330	218	144	114	259	276	213	222	154	119	48	87	244	208	257	112	188	353	79	532	102	510	437	149	249	267	280	28	127	615	47	252
LY6G5B	288	195	129	101	229	237	207	225	133	91	39	84	231	168	234	111	143	235	76	403	78	303	317	105	232	210	211	31	112	432	28	189
LY6G5C	245	162	140	94	210	220	161	172	120	100	39	76	190	161	190	97	154	193	59	335	82	534	336	188	336	235	330	22	110	492	36	113
ABHD16A	264	190	133	124	237	266	233	205	137	119	62	79	222	178	246	118	253	313	260	435	86	737	374	139	342	426	275	41	210	647	137	171
ENSG00000204422	284	185	129	114	233	251	220	196	134	117	59	80	222	168	225	111	222	302	209	397	73	682	338	154	274	360	279	30	171	574	107	169
MIR4646	235	140	116	115	192	217	157	156	108	95	46	59	176	140	202	115	59	261	51	344	57	421	157	68	132	283	204	6	40	398	22	94
LY6G6F	315	154	107	81	211	221	187	174	128	93	51	75	207	148	175	95	189	264	166	272	49	667	308	182	145	198	215	10	94	430	87	183
LY6G6F-LY6G6D	300	177	125	105	223	220	200	183	126	107	53	75	226	159	191	82	187	261	140	386	56	621	270	186	197	283	324	13	142	487	66	171
LY6G6E	320	203	132	119	231	243	199	184	138	122	52	78	255	153	211	74	158	232	119	449	48	508	201	200	162	322	348	12	162	465	35	184
LY6G6D	248	178	135	123	226	196	211	192	109	109	60	72	208	178	181	75	185	293	102	470	57	630	271	160	300	349	419	18	174	544	56	138
MPIG6B	328	231	192	148	324	315	279	256	166	152	69	94	273	245	284	127	158	360	109	745	65	723	407	235	424	323	409	37	143	649	94	225
LY6G6C	292	207	170	133	303	270	249	234	143	122	58	88	225	229	242	110	149	362	89	633	39	657	378	139	383	288	396	55	127	557	76	167
DDAH2	405	254	190	156	363	365	264	253	204	184	103	73	303	225	288	134	199	325	164	656	120	779	420	236	331	311	399	26	194	761	79	241
CLIC1	328	229	143	124	262	292	202	181	149	121	52	50	253	172	234	125	155	312	62	397	79	532	394	180	295	344	272	21	146	525	61	197
MSH5	232	160	100	96	192	206	174	170	111	84	41	54	189	137	189	82	98	201	53	236	28	347	210	102	173	179	158	8	68	386	26	121
MSH5-SAPCD1	242	168	111	100	207	218	187	181	120	89	46	59	197	148	203	86	112	222	59	250	29	390	231	114	196	196	179	9	75	414	31	124
RNU6-850P	105	69	36	39	70	116	88	96	59	44	27	31	108	49	89	49	35	91	56	134	19	121	132	12	134	87	81	2	36	257	6	94
SAPCD1	358	249	222	150	364	339	315	286	206	141	89	98	283	259	344	118	268	460	123	391	41	847	473	253	439	400	410	13	148	715	80	174
SAPCD1-AS1	322	220	196	138	317	302	292	249	186	132	77	98	256	241	325	109	265	368	112	345	30	718	382	227	353	343	333	14	120	541	72	130
VWA7	259	182	137	94	210	244	180	187	119	100	54	70	190	164	216	92	151	218	57	317	44	447	248	168	176	212	213	12	100	353	34	112
VARS1	235	158	122	92	191	216	187	184	103	90	57	57	180	155	191	88	335	392	149	382	130	616	445	173	372	420	235	39	182	596	115	205
Y_RNA	325	228	165	120	266	337	268	289	126	156	51	87	237	201	261	154	273	352	96	516	37	723	360	238	347	305	358	32	114	642	28	227
LSM2	167	106	67	63	122	133	119	100	80	68	37	33	134	93	133	48	31	112	46	121	20	140	101	50	51	94	80	3	18	145	10	44
HSPA1L	374	250	156	125	235	306	174	209	162	143	81	64	288	228	237	108	107	192	38	432	45	450	179	155	192	222	239	20	100	496	31	163
HSPA1A	423	328	203	144	291	357	209	248	223	175	80	94	365	286	323	135	174	433	85	562	57	591	335	279	307	284	330	15	134	562	49	189
ENSG00000289637	344	226	147	154	238	288	184	207	153	166	58	55	270	218	247	92	151	312	69	367	24	480	275	123	155	214	323	16	85	503	38	188
ENSG00000289829	426	295	184	147	210	262	107	107	171	181	80	51	383	238	262	93	147	408	69	465	56	934	571	178	286	333	475	54	127	613	41	327
HSPA1B	456	339	193	166	265	346	160	167	176	191	88	64	431	304	295	115	147	474	48	564	75	993	592	228	268	368	516	86	172	710	38	397
ENSG00000285565	211	145	98	88	171	176	100	128	87	103	42	41	196	157	154	64	59	170	29	276	34	324	197	82	96	166	166	27	66	268	17	157
SNHG32	106	80	45	47	101	92	57	91	52	64	24	23	106	84	82	35	19	87	18	150	14	117	89	29	36	99	44	0	29	89	10	48
SNORD48	216	143	92	83	188	157	97	146	83	131	40	48	200	158	143	63	37	136	35	217	26	186	141	47	78	158	95	0	54	186	17	108
SNORD52	100	82	42	49	105	96	64	102	57	55	26	23	98	90	81	33	16	104	20	163	19	116	102	36	37	121	48	0	41	82	16	39
NEU1	290	212	118	109	221	256	153	146	101	132	61	61	238	189	242	105	166	201	95	266	26	456	220	129	136	159	231	8	83	422	21	192
SLC44A4	275	191	161	123	230	269	214	188	131	109	65	72	227	170	225	119	168	230	116	423	44	531	262	176	182	209	248	21	90	472	53	135
EHMT2-AS1	313	213	177	139	309	377	319	250	134	157	71	86	288	228	267	142	122	343	139	576	87	804	398	222	342	322	300	9	156	741	71	210
EHMT2	287	212	154	123	261	305	257	213	133	135	66	77	247	201	244	126	126	260	127	392	60	545	258	129	254	250	242	13	105	584	47	192
C2	210	149	110	88	165	187	152	144	105	92	45	64	172	139	167	75	87	170	66	253	47	322	213	86	147	150	184	9	85	284	19	97
ZBTB12	109	122	54	51	103	88	121	62	63	78	48	34	130	118	111	44	140	116	68	193	67	225	171	96	113	130	292	16	78	197	12	90
ENSG00000244255	271	174	142	111	218	222	200	188	130	120	52	77	210	176	212	98	118	245	73	335	51	498	341	135	237	201	247	12	117	462	44	162
C2-AS1	265	168	161	100	193	224	187	166	123	115	55	79	206	175	202	89	125	174	58	325	38	428	247	113	138	155	197	4	92	338	19	103
CFB	361	224	174	154	320	304	277	262	174	160	65	105	273	220	289	141	151	351	92	455	49	662	483	193	381	258	382	27	156	824	89	284
NELFE	292	198	149	131	252	277	212	206	128	144	62	70	236	174	237	108	222	284	126	370	34	677	331	154	289	320	286	15	170	580	51	200
MIR1236	248	179	109	110	227	242	168	166	115	107	50	48	184	159	205	86	221	223	124	330	40	588	268	177	228	407	225	15	130	444	47	126
SKIC2	353	235	191	160	334	337	291	252	170	146	75	94	293	210	294	139	208	357	150	628	57	802	454	238	299	336	378	26	137	688	65	220
DXO	331	238	147	152	247	301	202	157	182	159	63	77	306	223	283	132	188	385	170	723	84	938	405	353	367	304	302	28	169	774	53	267
STK19	217	184	108	90	191	217	150	138	131	108	54	58	213	178	187	88	117	277	85	352	70	527	248	208	187	214	261	16	108	505	31	192
C4A	118	74	65	53	89	114	110	69	69	43	15	19	98	77	114	52	27	177	117	255	61	413	171	125	221	323	131	15	93	409	57	152
C4A-AS1	146	73	30	80	8	155	126	51	76	27	28	45	90	77	123	58	117	133	111	241	34	402	213	93	173	246	187	9	131	691	90	143
ENSG00000290788	396	257	98	188	0	451	365	148	212	97	85	185	311	248	349	141	452	393	280	952	110	1141	554	347	505	879	493	58	426	2017	187	677
CYP21A1P	396	256	98	188	0	451	365	148	212	97	85	185	311	248	350	141	452	392	281	953	110	1141	555	346	505	880	493	58	426	2018	188	679
TNXA	393	266	138	182	0	364	308	130	197	118	78	165	354	235	369	172	428	420	251	707	166	968	606	392	578	867	496	49	436	1972	156	491
STK19B	463	334	218	219	0	453	414	162	193	208	114	199	420	299	403	177	404	483	227	709	156	1063	584	360	568	1029	545	73	352	2027	179	492
C4B	119	85	76	51	7	123	116	54	59	31	25	48	71	83	123	51	157	191	56	149	41	451	210	87	202	215	119	7	117	674	78	86
C4B-AS1	157	95	107	64	84	156	119	107	79	59	26	27	89	85	133	85	140	181	77	271	32	427	223	166	290	135	167	3	53	423	50	58
CYP21A2	383	286	328	165	389	402	343	273	204	247	102	116	330	262	371	131	354	656	127	700	58	1325	537	360	511	491	680	22	314	830	178	306
TNXB	306	221	177	136	297	289	275	234	156	135	71	91	259	211	286	131	181	304	111	531	64	666	377	186	298	320	349	26	172	621	56	179
RNA5SP206	261	190	169	149	254	264	199	199	126	100	57	96	208	183	245	95	119	182	128	437	56	560	283	152	290	280	274	27	206	494	35	168
ENSG00000284829	283	202	162	122	285	250	254	227	135	127	57	86	234	190	254	122	137	279	94	393	60	611	319	160	197	259	313	25	135	540	43	150
ENSG00000286974	349	219	179	148	381	284	312	264	165	131	64	100	270	211	324	157	170	395	121	543	95	854	413	229	265	289	494	29	159	755	54	203
ATF6B	245	187	133	100	218	234	204	180	111	98	55	72	211	156	201	82	102	178	65	205	28	316	196	108	147	199	158	14	102	280	20	92
FKBPL	192	165	81	72	116	148	69	66	83	68	31	30	172	113	107	50	47	156	64	238	32	185	115	93	95	155	138	18	39	211	2	54
PRRT1	125	101	62	44	136	104	84	76	68	66	35	53	100	77	82	40	107	179	39	195	15	366	183	104	151	183	175	5	116	124	16	98
ENSG00000285085	136	101	64	51	134	110	89	86	65	70	33	50	93	76	92	40	93	147	37	162	19	310	125	96	100	132	153	4	62	104	18	93
ENSG00000284954	176	122	85	77	173	151	116	119	79	91	37	51	128	105	126	53	86	150	43	189	30	349	116	99	93	123	161	5	49	145	27	118
PPT2	202	150	103	100	194	188	157	165	102	93	49	54	156	142	163	92	96	138	53	278	19	396	126	75	125	120	139	7	47	247	32	95
PPT2-EGFL8	252	177	132	120	243	237	221	197	125	106	56	75	205	167	209	107	139	201	67	417	32	576	215	155	178	161	204	13	147	446	45	123
EGFL8	329	224	176	150	295	302	312	251	165	119	60	98	277	198	272	132	185	288	68	604	42	833	316	276	208	216	281	17	247	683	49	170
AGPAT1	354	219	154	133	292	314	229	172	147	145	75	79	275	205	268	125	213	372	130	569	67	838	380	268	344	308	388	31	289	719	71	234
MIR6721	299	190	160	141	326	293	292	215	146	127	68	108	266	188	265	123	230	270	115	630	61	802	409	202	274	202	337	20	342	698	74	164
RNF5	425	301	183	142	235	313	189	162	172	184	78	57	323	222	343	121	275	431	172	609	89	962	400	284	323	358	269	13	259	723	92	239
MIR6833	416	299	184	144	236	307	204	192	179	188	77	64	304	225	348	121	271	409	177	600	90	924	374	261	291	365	244	15	257	670	93	243
AGER	404	258	197	151	288	308	254	248	179	160	62	75	286	239	333	107	259	268	208	511	89	811	432	273	337	266	342	28	220	555	69	239
ENSG00000273333	433	269	189	169	361	355	311	231	177	185	78	85	341	256	324	116	303	385	216	584	92	719	539	374	450	315	508	41	186	670	43	254
PBX2	403	227	181	154	305	332	282	214	165	154	85	68	312	236	324	114	257	368	155	584	59	712	481	323	431	334	468	34	193	614	42	244
GPSM3	265	180	127	112	193	254	178	133	120	107	48	33	227	160	214	94	163	291	64	368	49	584	400	173	247	318	316	16	93	437	25	182
NOTCH4	268	168	137	105	239	273	215	179	138	114	57	76	214	186	225	106	258	403	177	492	120	717	388	164	324	324	310	30	214	679	141	257
TSBP1-AS1	211	139	102	87	169	172	137	130	102	86	37	56	162	138	152	62	104	204	64	246	34	371	210	98	140	180	188	15	97	274	30	117
TSBP1	277	187	135	114	225	225	182	171	136	114	48	76	215	180	200	79	132	266	78	313	45	469	269	118	170	220	242	21	129	359	37	143
HNRNPA1P2	366	222	162	122	269	244	220	217	155	126	50	105	249	209	238	90	89	343	85	374	52	474	253	131	179	197	265	9	176	407	56	158
RNU6-603P	391	280	176	165	298	271	224	244	169	152	65	91	307	228	282	109	188	361	87	511	67	834	471	223	273	319	358	25	180	535	46	265
BTNL2	340	212	160	143	251	283	205	216	153	136	60	86	259	241	257	110	155	340	138	455	55	659	362	216	313	377	338	28	144	461	54	248
HLA-DRB9	279	175	133	115	220	244	150	142	133	89	56	63	242	178	216	100	143	183	69	226	49	465	233	123	221	147	249	20	108	321	36	134
HLA-DRB5	943	839	443	548	1032	847	998	612	837	581	263	385	980	972	1170	533	738	1379	227	1257	195	3028	1401	755	1304	797	1766	56	599	1574	350	661
RNU1-61P	390	206	192	133	245	303	310	102	196	103	74	92	170	207	337	147	190	351	0	139	32	881	376	249	393	300	274	84	141	638	113	80
HLA-DRB6	1040	601	596	328	422	787	658	176	486	375	93	266	354	570	706	311	274	840	0	590	130	1974	562	519	431	805	1181	34	294	1318	199	406
HLA-DRB6	1120	660	651	371	528	858	751	221	559	408	116	292	443	626	804	356	336	946	0	661	153	2186	685	611	524	882	1270	39	367	1479	195	433
HLA-DRB1	1426	961	663	551	2012	1697	854	1174	554	879	517	543	2027	1408	1106	398	1607	1173	481	1739	404	4503	2718	641	2279	1794	1734	155	1233	2305	228	1002
HLA-DQA1	878	570	427	338	708	781	518	518	472	361	165	230	694	620	682	286	473	1022	284	1265	138	2366	1187	511	1083	880	1088	76	427	1322	121	575
HLA-DQB1	1284	814	612	444	895	1327	623	609	685	646	257	323	1069	1047	875	412	924	2449	537	2491	294	3846	2470	962	2180	2194	2014	258	1572	2706	262	1300
HLA-DQB1-AS1	1415	810	722	592	1122	1224	911	905	483	605	309	405	1132	950	1086	542	729	909	589	2300	281	3192	1598	837	1504	1399	1725	98	694	2664	246	1078
HLA-DQA2	1075	694	476	404	841	891	703	624	487	382	190	304	821	681	737	325	493	1012	272	1405	151	1827	964	516	785	765	1072	56	468	1320	158	633
MIR3135B	172	108	118	66	178	204	163	123	126	44	40	53	119	122	196	56	148	234	93	255	5	602	284	140	243	134	309	10	116	341	34	106
HLA-DQB2	713	489	357	294	628	705	591	467	332	279	140	204	603	444	596	255	545	819	193	1060	135	1672	826	475	617	707	799	47	445	1328	84	437
HLA-DPA1	1777	1143	843	719	1326	1585	1119	1064	933	647	347	378	1332	1116	1396	616	955	1908	568	2285	327	3461	1785	983	1635	1650	1654	153	856	2644	352	1177
HLA-DPB1	1061	721	559	436	860	980	791	703	561	392	208	259	840	725	848	395	624	1015	350	1585	196	2289	1075	743	969	1050	1160	108	558	1814	190	733
RPL32P1	1277	890	695	564	1019	1187	963	850	747	532	253	309	1145	847	1054	508	694	1533	451	1771	238	2818	1235	689	1158	1150	1407	141	700	2112	280	764
HLA-DPA2	63	39	31	26	64	57	50	54	35	24	16	20	53	57	51	33	55	54	39	73	6	205	101	79	47	89	61	2	23	136	9	39
COL11A2P1	45	42	33	32	44	47	44	33	37	21	19	18	25	42	61	33	58	26	60	137	9	95	82	52	39	23	61	0	2	89	47	87
ENSG00000291111	276	201	129	125	215	249	189	124	149	123	38	67	208	170	229	105	155	247	45	366	33	551	282	152	284	270	205	38	172	432	37	221
HLA-DPB2	132	98	67	62	105	125	99	70	73	60	18	32	103	82	108	50	69	115	21	214	16	257	135	71	123	119	103	16	78	209	17	99
