gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
DDAH2	405	254	190	156	363	365	264	253	204	184	103	73	303	225	288	134	199	325	164	656	120	779	420	236	331	311	399	26	194	761	79	241
CLIC1	328	229	143	124	262	292	202	181	149	121	52	50	253	172	234	125	155	312	62	397	79	532	394	180	295	344	272	21	146	525	61	197
MSH5	232	160	100	96	192	206	174	170	111	84	41	54	189	137	189	82	98	201	53	236	28	347	210	102	173	179	158	8	68	386	26	121
MSH5-SAPCD1	242	168	111	100	207	218	187	181	120	89	46	59	197	148	203	86	112	222	59	250	29	390	231	114	196	196	179	9	75	414	31	124
SAPCD1	358	249	222	150	364	339	315	286	206	141	89	98	283	259	344	118	268	460	123	391	41	847	473	253	439	400	410	13	148	715	80	174
VWA7	259	182	137	94	210	244	180	187	119	100	54	70	190	164	216	92	151	218	57	317	44	447	248	168	176	212	213	12	100	353	34	112
VARS1	235	158	122	92	191	216	187	184	103	90	57	57	180	155	191	88	335	392	149	382	130	616	445	173	372	420	235	39	182	596	115	205
LSM2	167	106	67	63	122	133	119	100	80	68	37	33	134	93	133	48	31	112	46	121	20	140	101	50	51	94	80	3	18	145	10	44
HSPA1L	374	250	156	125	235	306	174	209	162	143	81	64	288	228	237	108	107	192	38	432	45	450	179	155	192	222	239	20	100	496	31	163
HSPA1A	423	328	203	144	291	357	209	248	223	175	80	94	365	286	323	135	174	433	85	562	57	591	335	279	307	284	330	15	134	562	49	189
HSPA1B	456	339	193	166	265	346	160	167	176	191	88	64	431	304	295	115	147	474	48	564	75	993	592	228	268	368	516	86	172	710	38	397
NEU1	290	212	118	109	221	256	153	146	101	132	61	61	238	189	242	105	166	201	95	266	26	456	220	129	136	159	231	8	83	422	21	192
SLC44A4	275	191	161	123	230	269	214	188	131	109	65	72	227	170	225	119	168	230	116	423	44	531	262	176	182	209	248	21	90	472	53	135
EHMT2	287	212	154	123	261	305	257	213	133	135	66	77	247	201	244	126	126	260	127	392	60	545	258	129	254	250	242	13	105	584	47	192
C2	210	149	110	88	165	187	152	144	105	92	45	64	172	139	167	75	87	170	66	253	47	322	213	86	147	150	184	9	85	284	19	97
ZBTB12	109	122	54	51	103	88	121	62	63	78	48	34	130	118	111	44	140	116	68	193	67	225	171	96	113	130	292	16	78	197	12	90
ENSG00000244255	271	174	142	111	218	222	200	188	130	120	52	77	210	176	212	98	118	245	73	335	51	498	341	135	237	201	247	12	117	462	44	162
CFB	361	224	174	154	320	304	277	262	174	160	65	105	273	220	289	141	151	351	92	455	49	662	483	193	381	258	382	27	156	824	89	284
NELFE	292	198	149	131	252	277	212	206	128	144	62	70	236	174	237	108	222	284	126	370	34	677	331	154	289	320	286	15	170	580	51	200
SKIC2	353	235	191	160	334	337	291	252	170	146	75	94	293	210	294	139	208	357	150	628	57	802	454	238	299	336	378	26	137	688	65	220
DXO	331	238	147	152	247	301	202	157	182	159	63	77	306	223	283	132	188	385	170	723	84	938	405	353	367	304	302	28	169	774	53	267
STK19	217	184	108	90	191	217	150	138	131	108	54	58	213	178	187	88	117	277	85	352	70	527	248	208	187	214	261	16	108	505	31	192
C4A	118	74	65	53	89	114	110	69	69	43	15	19	98	77	114	52	27	177	117	255	61	413	171	125	221	323	131	15	93	409	57	152
C4B	119	85	76	51	7	123	116	54	59	31	25	48	71	83	123	51	157	191	56	149	41	451	210	87	202	215	119	7	117	674	78	86
CYP21A2	383	286	328	165	389	402	343	273	204	247	102	116	330	262	371	131	354	656	127	700	58	1325	537	360	511	491	680	22	314	830	178	306
TNXB	306	221	177	136	297	289	275	234	156	135	71	91	259	211	286	131	181	304	111	531	64	666	377	186	298	320	349	26	172	621	56	179
ATF6B	245	187	133	100	218	234	204	180	111	98	55	72	211	156	201	82	102	178	65	205	28	316	196	108	147	199	158	14	102	280	20	92
FKBPL	192	165	81	72	116	148	69	66	83	68	31	30	172	113	107	50	47	156	64	238	32	185	115	93	95	155	138	18	39	211	2	54
PRRT1	125	101	62	44	136	104	84	76	68	66	35	53	100	77	82	40	107	179	39	195	15	366	183	104	151	183	175	5	116	124	16	98
ENSG00000285085	136	101	64	51	134	110	89	86	65	70	33	50	93	76	92	40	93	147	37	162	19	310	125	96	100	132	153	4	62	104	18	93
PPT2	202	150	103	100	194	188	157	165	102	93	49	54	156	142	163	92	96	138	53	278	19	396	126	75	125	120	139	7	47	247	32	95
PPT2-EGFL8	252	177	132	120	243	237	221	197	125	106	56	75	205	167	209	107	139	201	67	417	32	576	215	155	178	161	204	13	147	446	45	123
EGFL8	329	224	176	150	295	302	312	251	165	119	60	98	277	198	272	132	185	288	68	604	42	833	316	276	208	216	281	17	247	683	49	170
AGPAT1	354	219	154	133	292	314	229	172	147	145	75	79	275	205	268	125	213	372	130	569	67	838	380	268	344	308	388	31	289	719	71	234
RNF5	425	301	183	142	235	313	189	162	172	184	78	57	323	222	343	121	275	431	172	609	89	962	400	284	323	358	269	13	259	723	92	239
AGER	404	258	197	151	288	308	254	248	179	160	62	75	286	239	333	107	259	268	208	511	89	811	432	273	337	266	342	28	220	555	69	239
PBX2	403	227	181	154	305	332	282	214	165	154	85	68	312	236	324	114	257	368	155	584	59	712	481	323	431	334	468	34	193	614	42	244
GPSM3	265	180	127	112	193	254	178	133	120	107	48	33	227	160	214	94	163	291	64	368	49	584	400	173	247	318	316	16	93	437	25	182
NOTCH4	268	168	137	105	239	273	215	179	138	114	57	76	214	186	225	106	258	403	177	492	120	717	388	164	324	324	310	30	214	679	141	257
TSBP1	277	187	135	114	225	225	182	171	136	114	48	76	215	180	200	79	132	266	78	313	45	469	269	118	170	220	242	21	129	359	37	143
BTNL2	340	212	160	143	251	283	205	216	153	136	60	86	259	241	257	110	155	340	138	455	55	659	362	216	313	377	338	28	144	461	54	248
